Model,MAE,RMSE,R2,Mean Difference,Std Difference,Min Difference,Max Difference
Linear Regression,40.813403995505226,70.29769023861664,0.999710526126891,0.5450651199365563,70.29665814215188,-533.7823031182061,3147.7220743918697
XGBoost,24.767014880777708,35.822445310742204,0.999924831182693,0.19146229588468097,35.822484546308424,-306.041015625,656.1015625
Random Forest,516.7667242660572,748.4680887947546,0.9671848919881983,2.7339138603954014,748.4746062011724,-3315.713232297883,6062.308546017364
